;SiteName;Long10;Lat10;Altitude;Domain;vegetation_type;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;DaysFrost;CloudItcp;Rockiness;Sandiness;SoilDrain;SoilWaterStorage;SoilFert;Salinity
CerMG079;Buriti do Campo Santo, floresta ripícola;-440.097;-166.894;835;Cerrado;riverine_forest;21.4;13;71;159;29.4;11.1;18.3;1149;271;2;99;150;157;0;0;5;65;80;73;37;0
CerMG080;Juramento, floresta ripícola;-436.983;-167.772;609;Cerrado;riverine_forest;22.6;12.9;72;163;30.4;12.5;17.9;1044;248;3;102;165;179;0;0;5;65;80;73;37;0
CerMG084;Corinto, floresta ripícola;-443.533;-184.681;635;Cerrado;riverine_forest;22.2;13.1;68;206;30.4;11.1;19.3;1161;272;4;95;150;134;0;0;5;65;80;73;37;0
CerMG091;Lagoa Santa, Rio das Velhas, floresta ripícola;-438.136;-196.419;675;Cerrado;riverine_forest;21.4;11.8;67;183;29.2;11.6;17.6;1370;308;8;92;140;110;0;0;5;85;80;68;37;0
CerMG092;Santa Luzia, floresta ripícola;-438.664;-197.244;679;Cerrado;riverine_forest;21.6;11.7;67;182;29.3;11.8;17.5;1359;301;8;92;140;110;0;0;5;85;80;68;37;0
CerMG107;Várzea da Palma, floresta decídua;-447.072;-175.922;498;Cerrado;dry_forest;23.5;13.5;68;198;31.8;11.8;20;1109;244;1;95;160;159;0;0;20;15;35;59;87;0
CerMG109;Santo Hipólito, floresta decídua;-441.906;-182.914;597;Cerrado;dry_forest;22.6;13;68;203;30.7;11.6;19.1;1110;282;3;98;155;146;0;0;20;55;35;49;87;0
CerMG112;Montes Claros, floresta decídua;-439.072;-167.431;838;Cerrado;dry_forest;21.8;12.9;71;162;29.6;11.5;18.1;1090;257;2;101;155;165;0;0;20;55;20;41;87;0
CerMG113;Juramento, floresta decídua;-436.636;-16.775;662;Cerrado;dry_forest;22.5;12.9;73;163;30.2;12.5;17.7;1035;246;3;102;160;179;0;0;20;55;20;41;87;0
CerMG114;Bocaiúva, floresta decídua;-437.672;-170.736;759;Cerrado;dry_forest;22.2;12.8;72;169;29.9;12;17.9;1081;239;4;96;160;155;0;0;20;45;20;44;87;0
CerMG118;Baldim, floresta decídua;-438.408;-192.733;914;Cerrado;dry_forest;20.8;12.2;66;185;28.9;10.5;18.4;1391;305;7;90;135;104;0;0;20;55;20;41;87;0
CerMG119;Lagoa Santa, Lapinha, floresta decídua;-439.597;-19.56;744;Cerrado;dry_forest;21.7;12;67;176;29.5;11.5;18;1321;302;6;94;140;121;0;0;20;55;20;41;87;0
CerMG133;Coração de Jesus, cerradão mesotrófico;-441.617;-165.258;847;Cerrado;cerrado;21.5;13.4;71;158;29.9;11;18.9;1129;261;3;97;145;156;0;0;20;15;35;59;37;0
CerMG134;Montes Claros, cerradão mesotrófico;-437.453;-166.819;626;Cerrado;cerrado;22.7;12.9;72;159;30.5;12.5;18;1030;243;2;102;165;183;0;0;20;85;35;41;37;0
CerMG135;Juramento, cerradão mesotrófico;-435.656;-169.097;746;Cerrado;cerrado;21.8;12.7;72;167;29.6;12;17.6;1031;238;3;99;160;163;0;0;5;65;35;50;37;0
CerMG139;Confins, cerradão mesotrófico;-439.464;-196.403;795;Cerrado;cerrado;21.5;11.8;67;178;29.2;11.6;17.6;1338;303;7;93;140;116;0;0;20;15;35;59;37;0
CerMG143;Sete Lagoas, cerradão distrófico;-441.472;-194.997;814;Cerrado;cerrado;21.7;12.4;67;173;29.5;11.1;18.4;1330;304;5;94;140;121;0;0;20;55;20;49;17;0
CerMG144;Pedro Leopoldo, cerradão distrófico;-440.714;-196.075;803;Cerrado;cerrado;21.5;12.1;67;174;29.3;11.3;18;1320;298;7;94;145;118;0;0;20;55;20;49;17;0
CerMG145;Belo Horizonte, Granja Wernek, cerradão distrófico;-439.156;-198.075;787;Cerrado;cerrado;21.4;11.7;67;182;29.1;11.7;17.4;1375;300;9;92;140;104;0;0;20;55;20;49;17;0
CerMG147;Jequitaí, cerrado;-445.183;-173.072;554;Cerrado;cerrado;23.2;13.6;68;190;31.5;11.5;20;1013;220;3;93;155;167;0;0;20;55;20;41;17;0
CerMG151;Várzea da Palma, cerrado;-446.811;-175.433;510;Cerrado;cerrado;23.6;13.5;67;199;31.9;11.8;20.1;1073;234;1;95;160;165;0;0;20;55;20;41;17;0
CerMG167;Claro dos Poções, cerrado;-442.856;-169.647;850;Cerrado;cerrado;21.5;13.3;70;170;29.8;10.8;19;1286;269;6;89;135;131;0;0;5;65;20;50;17;0
CerMG168;Bocaiúva, cerrado;-439.072;-171.078;670;Cerrado;cerrado;22.5;12.9;71;170;30.2;12;18.2;1068;232;4;95;155;160;0;0;5;65;20;50;17;0
CerMG172;Corinto, cerrado;-444.686;-183.533;662;Cerrado;cerrado;22.3;13.1;69;201;30.3;11.2;19.1;1173;288;3;96;150;136;0;0;5;55;20;53;17;0
CerMG180;São José do Almeida, cerrado;-438.264;-194.081;764;Cerrado;cerrado;21.2;12.1;66;183;29.2;11;18.2;1387;313;7;92;135;109;0;0;20;55;20;41;17;0
